,ts_code,trade_date,turnover_rate,volume_ratio,pe,pb
5054,601636.SH,20240403,0.9092,1.03,15.3869,1.5235
5060,603916.SH,20240403,1.0784,1.17,13.2298,0.9127
5063,605088.SH,20240403,15.5129,3.18,15.0399,2.2122
5068,603339.SH,20240403,1.1179,0.49,10.6024,1.4285
5070,000878.SZ,20240403,8.0326,1.96,17.9427,2.0369
5092,601900.SH,20240403,1.1285,0.69,14.131,1.812
5095,600522.SH,20240403,1.6607,1.36,14.1454,1.3856
5096,603185.SH,20240403,0.7804,0.85,5.6471,1.1189
5098,002124.SZ,20240403,16.4254,1.98,15.798,2.1866
5099,000582.SZ,20240403,0.9346,1.15,13.9658,1.092
5108,002001.SZ,20240403,0.3118,0.73,14.574,2.1803
5111,605366.SH,20240403,1.04,0.82,12.8064,2.2895
5115,002266.SZ,20240403,1.1306,1.24,12.7294,1.6886
5117,603062.SH,20240403,2.9662,0.61,18.1024,2.2332
5119,601717.SH,20240403,1.2982,0.95,8.5788,1.377
5128,002871.SZ,20240403,3.7538,0.95,14.9945,2.6109
5130,600846.SH,20240403,0.7252,0.79,14.4196,1.3617
5132,002810.SZ,20240403,1.6081,1.06,13.7242,2.4234
5139,002140.SZ,20240403,0.8895,0.86,16.7784,1.4396
5145,002128.SZ,20240403,1.0291,1.72,10.008,1.3207
5148,603486.SH,20240403,0.969,1.6,11.5365,2.9996
5156,601088.SH,20240403,0.1685,0.85,13.1771,1.9247
5160,600765.SH,20240403,1.5813,1.18,16.5374,1.8892
5161,603282.SH,20240403,1.1881,0.88,17.1669,2.4147
5162,600729.SH,20240403,2.6223,1.02,12.8361,1.056
5178,600755.SH,20240403,0.8559,1.24,4.5878,0.7747
5180,600486.SH,20240403,0.5675,0.97,14.3098,2.3155
5183,002714.SZ,20240403,0.8645,1.06,18.6461,3.8528
5188,601512.SH,20240403,0.2804,1.7,7.5795,0.8778
5194,605033.SH,20240403,5.6923,1.43,14.8257,1.909
5198,002972.SZ,20240403,6.1867,0.82,19.5447,1.9734
5205,603797.SH,20240403,1.1979,1.85,10.4532,0.9557
5206,603137.SH,20240403,3.345,1.04,18.1932,1.8731
5211,002497.SZ,20240403,2.5475,1.51,2.9079,1.186
5215,603928.SH,20240403,1.2133,0.6,19.3029,1.4879
5230,600928.SH,20240403,0.2994,0.59,6.3428,0.5057
5235,002460.SZ,20240403,3.142,1.42,16.266,1.7108
5239,600905.SH,20240403,0.5214,0.96,18.8797,1.6377
5242,600104.SH,20240403,0.1786,0.93,12.596,0.6255
5261,001301.SZ,20240403,7.4218,3.21,7.0918,1.6608
5269,600143.SH,20240403,0.6451,1.15,9.7473,1.1735
5271,002585.SZ,20240403,1.1048,0.73,11.4339,0.8375
5278,002831.SZ,20240403,0.3577,0.91,15.7288,2.213
5280,600894.SH,20240403,1.5068,1.24,15.4384,0.8706
5285,603236.SH,20240403,1.1862,0.63,16.6565,2.9578
5290,000786.SZ,20240403,0.7354,0.99,14.2582,2.1505
5293,001210.SZ,20240403,2.505,1.11,18.3883,1.3901
5307,002479.SZ,20240403,0.8553,0.85,14.9316,0.9779
5309,601921.SH,20240403,1.6415,0.75,13.5984,1.5036
5310,002925.SZ,20240403,0.3706,0.62,17.4909,2.4255
5312,603799.SH,20240403,6.5885,2.39,13.9085,1.6937
5317,605138.SH,20240403,5.8234,1.31,11.1087,1.6276
5318,605365.SH,20240403,4.5113,0.79,18.0651,2.6006
5340,600987.SH,20240403,1.1644,0.98,11.9779,1.3288
